MC-cycles <epsilon> <|m|>
667 0.174498 0.975
668 0.174626 0.98
669 0.174753 0.98
670 0.174881 0.985
671 0.175007 0.99
672 0.175134 0.985
673 0.175275 0.99
674 0.17543 0.985
675 0.175585 0.98
676 0.17574 0.975
677 0.175894 0.975
678 0.176062 0.97
679 0.17623 0.965
680 0.176397 0.965
681 0.176579 0.96
682 0.17676 0.965
683 0.17694 0.965
684 0.177105 0.96
685 0.17727 0.965
686 0.17742 0.96
687 0.177555 0.955
688 0.177703 0.95
689 0.177852 0.955
690 0.177986 0.96
691 0.17809 0.955
692 0.178165 0.95
693 0.178211 0.945
694 0.178242 0.95
695 0.178273 0.95
696 0.178305 0.95
697 0.178321 0.955
698 0.178324 0.95
699 0.178326 0.95
700 0.178329 0.945
701 0.178331 0.945
702 0.178333 0.945
703 0.17835 0.95
704 0.178366 0.95
705 0.178355 0.955
706 0.178343 0.95
707 0.178345 0.955
708 0.178347 0.96
709 0.17835 0.955
710 0.178352 0.96
711 0.178354 0.96
712 0.178357 0.96
713 0.178373 0.955
714 0.178417 0.96
715 0.178462 0.96
716 0.178506 0.955
717 0.17855 0.96
718 0.178579 0.965
719 0.178595 0.97
720 0.178611 0.965
721 0.178627 0.96
722 0.178657 0.965
723 0.178686 0.96
724 0.178715 0.955
725 0.178759 0.96
726 0.178815 0.955
727 0.178845 0.96
728 0.178874 0.955
729 0.178903 0.955
730 0.178932 0.955
731 0.17896 0.96
732 0.178975 0.965
733 0.178977 0.96
734 0.178992 0.965
735 0.179007 0.97
736 0.179022 0.965
737 0.179023 0.97
738 0.179011 0.965
739 0.178999 0.97
740 0.178973 0.965
741 0.178947 0.96
742 0.178922 0.96
743 0.178896 0.965
744 0.178871 0.965
745 0.178846 0.96
746 0.17882 0.965
747 0.178809 0.97
748 0.178783 0.965
749 0.178772 0.96
750 0.178747 0.965
751 0.178722 0.965
752 0.178697 0.96
753 0.178672 0.955
754 0.178647 0.955
755 0.178623 0.96
756 0.178611 0.955
757 0.1786 0.95
758 0.178575 0.945
759 0.178538 0.95
760 0.1785 0.945
761 0.178463 0.95
762 0.178425 0.945
763 0.178388 0.95
764 0.178351 0.945
765 0.178314 0.945
766 0.178264 0.95
767 0.178227 0.955
768 0.17819 0.955
769 0.178166 0.96
770 0.178156 0.955
771 0.178171 0.96
772 0.178187 0.96
773 0.178202 0.965
774 0.178217 0.965
775 0.178245 0.97
776 0.178273 0.965
777 0.178275 0.96
778 0.178278 0.965
779 0.17828 0.96
780 0.178295 0.965
781 0.178297 0.96
782 0.178299 0.955
783 0.178289 0.96
784 0.178265 0.955
785 0.178242 0.96
786 0.178219 0.96
787 0.178196 0.96
788 0.178173 0.96
789 0.178162 0.965
790 0.178165 0.96
791 0.17818 0.965
792 0.178194 0.97
793 0.178209 0.975
794 0.178224 0.97
795 0.178226 0.965
796 0.178229 0.97
797 0.178231 0.965
798 0.178246 0.97
799 0.17826 0.97
800 0.178275 0.97
801 0.17829 0.965
802 0.178304 0.97
803 0.178319 0.965
804 0.178333 0.96
805 0.178348 0.955
806 0.178375 0.95
807 0.178377 0.955
808 0.178379 0.96
809 0.178368 0.955
810 0.17837 0.95
811 0.178372 0.945
812 0.178374 0.94
813 0.178364 0.935
814 0.178366 0.94
815 0.178368 0.935
816 0.178358 0.94
817 0.178335 0.935
818 0.178313 0.94
819 0.178291 0.94
820 0.178268 0.945
821 0.178246 0.95
822 0.178212 0.945
823 0.178177 0.94
824 0.178143 0.94
825 0.178109 0.94
826 0.178063 0.935
827 0.178017 0.93
828 0.177971 0.93
829 0.177925 0.935
830 0.177867 0.93
831 0.17781 0.935
832 0.177728 0.93
833 0.177647 0.925
834 0.177542 0.93
835 0.177425 0.925
836 0.177309 0.925
837 0.177204 0.93
838 0.1771 0.935
839 0.176996 0.935
840 0.176893 0.93
841 0.176801 0.925
842 0.176698 0.93
843 0.176584 0.935
844 0.176457 0.93
845 0.176331 0.925
846 0.176206 0.925
847 0.176068 0.93
848 0.175932 0.935
849 0.175819 0.94
850 0.175718 0.935
851 0.175617 0.94
852 0.175516 0.935
853 0.175416 0.93
854 0.175328 0.935
855 0.17524 0.935
856 0.175164 0.94
857 0.175099 0.935
858 0.175035 0.93
859 0.174971 0.925
860 0.174907 0.92
861 0.174843 0.92
862 0.174791 0.925
863 0.174739 0.925
864 0.174687 0.925
865 0.174647 0.93
866 0.174584 0.925
867 0.174533 0.92
868 0.174493 0.925
869 0.174465 0.92
870 0.174425 0.915
871 0.174397 0.92
872 0.174369 0.915
873 0.174341 0.915
874 0.174314 0.92
875 0.174297 0.915
876 0.174304 0.92
877 0.17431 0.92
878 0.174328 0.925
879 0.174357 0.92
880 0.174375 0.915
881 0.174393 0.915
882 0.17441 0.915
883 0.174428 0.91
884 0.174457 0.915
885 0.174486 0.915
886 0.174503 0.92
887 0.174521 0.92
888 0.174527 0.915
889 0.174533 0.915
890 0.174517 0.91
891 0.174523 0.915
892 0.174529 0.91
893 0.174524 0.915
894 0.174519 0.91
895 0.174514 0.91
896 0.174531 0.915
897 0.174548 0.92
898 0.174566 0.915
899 0.174605 0.92
900 0.174633 0.915
901 0.174661 0.91
902 0.17469 0.91
903 0.174707 0.915
904 0.174735 0.92
905 0.174762 0.915
906 0.174768 0.91
907 0.174774 0.91
908 0.174791 0.905
909 0.174807 0.91
910 0.174835 0.915
911 0.174863 0.92
912 0.174879 0.915
913 0.174885 0.92
914 0.174891 0.925
915 0.174896 0.925
916 0.174913 0.93
917 0.174951 0.935
918 0.174989 0.935
919 0.175027 0.94
920 0.175065 0.94
921 0.175103 0.945
922 0.17513 0.95
923 0.175157 0.955
924 0.175184 0.95
925 0.175211 0.955
926 0.175238 0.96
927 0.175275 0.955
928 0.175312 0.955
929 0.17535 0.96
930 0.175387 0.96
931 0.175424 0.96
932 0.175451 0.965
933 0.175466 0.96
934 0.175503 0.965
935 0.17554 0.97
936 0.175577 0.975
937 0.175603 0.98
938 0.175629 0.975
939 0.175666 0.98
940 0.175691 0.975
941 0.175717 0.97
942 0.175764 0.965
943 0.175801 0.96
944 0.175826 0.955
945 0.175852 0.955
946 0.175867 0.95
947 0.175882 0.95
948 0.175897 0.95
949 0.175901 0.955
950 0.175916 0.95
951 0.175931 0.95
952 0.175945 0.945
953 0.175971 0.95
954 0.175996 0.955
955 0.17601 0.95
956 0.176025 0.95
957 0.17604 0.955
958 0.176054 0.955
959 0.176069 0.95
960 0.176083 0.95
961 0.176098 0.955
962 0.176112 0.955
963 0.176127 0.95
964 0.176151 0.955
965 0.176176 0.95
966 0.176222 0.955
967 0.176267 0.96
968 0.176333 0.955
969 0.176388 0.95
970 0.176443 0.95
971 0.176509 0.945
972 0.176574 0.945
973 0.17665 0.95
974 0.176725 0.945
975 0.1768 0.945
976 0.176865 0.94
977 0.176929 0.935
978 0.176973 0.93
979 0.177017 0.935
980 0.177061 0.94
981 0.177105 0.945
982 0.177138 0.95
983 0.177182 0.955
984 0.177226 0.95
985 0.177269 0.955
986 0.177312 0.95
987 0.177356 0.955
988 0.177399 0.955
989 0.177442 0.96
990 0.177485 0.965
991 0.177528 0.965
992 0.17756 0.97
993 0.177573 0.975
994 0.177586 0.975
995 0.177608 0.98
996 0.177641 0.975
997 0.177673 0.98
998 0.177715 0.985
999 0.177758 0.985
1000 0.17782 0.99
1001 0.177892 0.985
1002 0.177964 0.985
1003 0.178036 0.985
1004 0.178108 0.985
1005 0.178179 0.99
1006 0.17825 0.995
1007 0.178322 0.99
1008 0.178393 0.99
1009 0.178474 0.995
1010 0.178545 1
1011 0.178615 0.995
1012 0.178686 0.99
1013 0.178756 0.995
1014 0.178826 0.995
1015 0.178897 1
1016 0.178957 1.005
1017 0.179017 1.01
1018 0.179086 1.005
1019 0.179166 1.01
1020 0.179235 1.015
1021 0.179314 1.02
1022 0.179393 1.015
1023 0.179472 1.015
1024 0.179551 1.01
1025 0.179629 1.01
1026 0.179708 1.005
1027 0.179786 1
1028 0.179854 0.995
1029 0.179913 1
1030 0.179981 0.995
1031 0.180039 0.99
1032 0.180097 0.99
1033 0.180155 0.995
1034 0.180193 1
1035 0.180222 0.995
1036 0.18027 0.99
1037 0.180328 0.985
1038 0.180376 0.99
1039 0.180414 0.995
1040 0.180452 0.995
1041 0.180471 1
